PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_aryl_methyl,fr_azo,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_tetrazole,fr_thiazole,fr_thiophene,fr_unbrch_alkane,fr_urea
16759513,Active,88.0,CC1CCC2(C(CC(C(O2)C(C)C(=O)C3=CC=CN3)C)C)OC1CC4=NC5=C(O4)C=CC(=C5C(=O)O)NC,13.148254284576385,-1.0614400321453685,13.148254284576385,0.04067518941794024,0.3451489485558866,523.6300000000002,486.33400000000034,523.268235904,204,0.33967423953648546,-0.4775245037289055,0.4775245037289055,0.33967423953648546,1.2105263157894737,2.0,2.6842105263157894,16.71287419207391,9.749024565865204,2.5226004902841876,-2.532043898231175,2.477634790778286,-2.5798406870143302,6.055035547563956,-0.3553013346103657,1.386761082236363,1317.3173767560052,27.189505486452973,22.61494872915131,22.61494872915131,18.12986661931037,13.49852161280194,13.49852161280194,11.119065964678736,11.119065964678736,8.540222620251685,8.540222620251685,6.269218169196479,6.269218169196479,-3.1700000000000004,401684213.87923294,26.437640269009393,10.186048918925646,4.622162672350129,221.84482587031965,29.298171364447686,11.080152209313258,23.044100162603684,0.0,0.0,5.969305287951849,4.794537184071822,9.77851570501903,0.0,0.0,27.694948798762496,48.94292361202124,31.501149269539063,30.010068667954638,28.586478607637794,28.53965736825885,0.0,9.967957041894417,23.671624184645573,71.37327921853372,12.36446058668352,47.61041525403088,0.0,5.316788604006331,5.687386274683562,0.0,0.0,51.869750581796296,15.894547530526108,23.671624184645573,73.69459144425554,34.87946278251287,0.0,11.099720859258504,126.68000000000002,11.756416440522447,14.69560176298435,0.0,47.22625339820411,34.79258067374245,19.26246486877803,0.0,31.443616759675095,12.990104268152233,36.05595724497262,13.890876844653445,19.563771788112376,0.0,32.679531445472506,12.678505442240535,1.9282158758349244,-1.1075427494454995,7.0483899944008,4.221444789753947,8.392854084061383,1.6781626629023614,0.5517241379310345,38,3,9,0,2,2,1,2,3,7,3,9,7,0,2,2,5,5.529800000000004,142.32619999999997,0,0,0,0,1,2,1,0,1,1,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67207673,Active,87.0,CC1CC(C2=C(N1C(=O)C)C=CC(=C2)C3=CC=C(C=C3)C(=O)O)NC4=CC=C(C=C4)Cl,12.365893677153252,-0.9487897359795594,12.365893677153252,0.011346333707445089,0.5276646203181408,434.9230000000001,411.73900000000015,434.139720276,158,0.3351789636472534,-0.4776392465898041,0.4776392465898041,0.3351789636472534,1.0,1.6451612903225807,2.2580645161290325,35.49569192196344,9.884710876044362,2.3224183527245272,-2.3947241263659826,2.40849411172413,-2.427785501438027,6.301676066013086,-0.11664611470332814,1.7494288227385795,1126.5089807345828,22.120591385700628,17.301548525588558,18.05747747160701,14.8294075958929,10.128215211076977,10.506179684086204,7.833658148650454,8.270093929122439,5.669624203823667,5.921600519163152,4.212705888154795,4.338694045824537,-3.309999999999999,9617797.02313858,20.942394025074,8.437901789065322,4.275247022188895,185.82459521184865,15.323225729697516,0.0,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,29.800041095617345,78.5658498454005,29.362983891947035,11.605292320844956,14.69560176298435,34.85219745690299,0.0,0.0,0.0,32.351977680603184,10.216698334856808,82.87957405021304,11.126902983393991,10.216698334856808,11.374772549367124,0.0,11.600939890232516,23.02485324129202,4.794537184071822,0.0,42.23157701892103,66.73003775307771,5.022633313741326,11.126902983393991,69.64,5.969305287951849,9.589074368143644,0.0,23.554312879344423,5.022633313741326,34.48594864738412,0.0,31.18920547353706,41.29811214162014,18.306892872158564,16.70746728507322,0.0,6.023200147554768,25.360450712141215,13.4094663931325,5.023130566412194,-0.9374434022721143,20.494412797613716,0.7605275867744301,3.6440329764210744,0.0,0.2,31,2,5,0,1,1,3,0,3,3,2,6,4,0,0,0,4,6.003500000000004,123.89200000000004,0,0,0,0,1,0,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11599836,Active,87.0,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C6CC(C=C4C3=O)C(=O)C5(OC6(C)C)CC=C(C)C(=O)O)O)C)C,14.718855602809791,-1.6278248583573465,14.718855602809791,0.054434272420835095,0.22848135203833123,628.7620000000004,584.4100000000004,628.303618368,244,0.3304435320923248,-0.5062570983651737,0.5062570983651737,0.3304435320923248,1.0,1.6956521739130435,2.347826086956522,16.597850576793185,9.508067093199186,2.808850081932976,-2.559818616912705,2.6833272327586988,-2.717314077385626,6.187099992374146,-0.17139224588231228,1.5884451276853466,1726.4340573390368,33.559748974456056,27.998252993232835,27.998252993232835,21.477141492864245,16.15097540470646,16.15097540470646,14.763043453218488,14.763043453218488,10.484639947530543,10.484639947530543,8.171985711111283,8.171985711111283,-3.91,8506660451.663059,32.047475735502125,10.557597544524398,4.468150419252842,270.0460493446649,24.423643651081555,28.413037802532397,22.768591514697256,0.0,0.0,5.969305287951849,9.589074368143644,4.794537184071822,0.0,0.0,35.45028948747406,93.22522430289678,34.96629426708433,11.164502302680685,38.80725520329702,23.61181528751561,0.0,0.0,11.835812092322787,109.89820895608977,0.0,69.36287312953746,17.248535499851716,9.473725907600098,0.0,17.248535499851716,0.0,50.153053214297884,20.7467589448697,11.835812092322787,102.55807574839183,52.67251865444647,0.0,6.076020106833881,119.36000000000001,40.07465952441293,24.596666341896878,0.0,40.75755230378642,41.711984215525185,11.993926152995277,18.572861836593773,6.076020106833881,52.84674631895476,19.92349450621513,14.210588861400147,20.594264623130705,0.0,40.812944204884545,21.41824683941126,-0.9524118368005772,-2.275389183803423,0.0,13.37932823338388,15.356350453126938,0.0,0.5,46,2,8,3,3,6,1,0,1,7,2,8,8,1,1,2,7,7.23930000000001,174.25509999999957,1,0,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,2,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122724,Active,87.0,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C)O,12.58048094974084,-0.6548059768430889,12.58048094974084,7.460159989913784e-05,0.466148834985649,450.61900000000026,412.3150000000002,450.27700969599994,178,0.30885608382738766,-0.503923550770879,0.503923550770879,0.30885608382738766,0.9696969696969697,1.6363636363636365,2.303030303030303,16.368055929683212,9.341970040138184,2.668347873053001,-2.695143931157373,2.75065318261205,-2.6176874195600623,6.061803451761628,-0.17791931886650045,1.6441510326136146,1104.6557253578073,24.18986996538249,20.970072316991978,20.970072316991978,15.218250673322574,12.553968051482812,12.553968051482812,12.91478731309017,12.91478731309017,11.388415337907679,11.388415337907679,8.65096724208869,8.65096724208869,-2.1,15827044.481748814,22.680363051206474,6.5175680719071085,2.6396625463156704,197.081574039031,10.213054789681411,0.0,5.759164871656176,5.783244946364939,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,45.42009354249953,98.17833238118747,10.988094999466046,5.41499046939678,19.802129157825057,11.75255023431679,0.0,0.0,32.99285839314529,86.4881745586258,0.0,46.279643312434885,0.0,0.0,0.0,0.0,0.0,21.9656050239982,9.589074368143644,32.99285839314529,86.4881745586258,46.279643312434885,0.0,0.0,74.60000000000001,11.384295757348628,19.802129157825057,0.0,33.202371695608235,11.49101057623066,56.09196042062061,5.573104530069267,6.076020106833881,13.847474399381248,39.84698901243026,0.0,0.0,0.0,24.820946025728723,20.3335691348298,3.3253208155647744,-0.7335300010499449,0.0,12.690219965090979,13.313474059835666,0.0,0.6551724137931034,33,2,4,5,0,5,0,0,0,3,2,4,1,3,0,3,5,6.697700000000006,128.5646000000001,1,1,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6277976,Active,87.0,COC1=C(C=C(C=C1)C=C(C#N)C2=NC(=CS2)C3=CC4=C(C=CC5=CC=CC=C54)OC3=O)O,12.685952798918757,-0.48870825520314853,12.685952798918757,0.023735120214265715,0.20877687438315806,452.49100000000016,436.36300000000034,452.0830779919999,160,0.34531387085376336,-0.504240211071668,0.504240211071668,0.34531387085376336,1.1515151515151516,2.0,2.787878787878788,32.13348187156899,10.041182285275749,2.1498214523590664,-2.042029770348483,2.315063716473858,-2.0274244852491505,7.1082092221376625,0.373189988727278,1.5805435269850643,1657.1050095320963,22.949018510446816,17.40283717863084,18.219333759558566,16.067213243362943,9.978441884418187,10.858094695673083,7.285042902274057,8.143145754132076,5.286837684504723,6.162409881507135,3.6765463238055696,4.462067144052806,-4.409999999999999,53552909.90904184,20.49032445849909,8.262178567947885,3.730771060253742,191.80579485907995,14.260541285694101,16.65986515128728,11.49902366656781,0.0,0.0,5.625586319077987,0.0,9.77851570501903,5.261891554738487,11.336785877934737,36.39820241076966,46.67738830130691,10.76628698493071,23.940281557892256,14.260541285694101,44.72760329987452,5.261891554738487,4.9839785209472085,0.0,0.0,7.109797541277533,87.0349321467816,28.82562446590554,10.362449272878036,0.0,11.49902366656781,11.336785877934737,17.200303457065445,0.0,11.33111286753076,10.571075188549761,75.2554215762072,0.0,44.64819690848524,96.35000000000001,5.625586319077987,15.162956133651013,0.0,5.749511833283905,38.73409118009064,16.158672643394386,24.51295048767388,35.72155115114624,30.33183534230805,11.053199833739482,9.154013890853395,10.624091047851604,1.2562458795246492,17.218188563595,24.71628787336599,1.7312970435561745,0.3213998636907851,20.37586181384932,1.6231697478374065,0.0,1.466791500062413,0.038461538461538464,33,1,6,0,0,0,3,2,5,7,1,7,4,0,0,0,5,5.848080000000004,129.24080000000004,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46871935,Active,85.0,C1CCC(C1)C2C3CCC4=C(C3=NN2C5=CC(=C(C=C5)C#N)Cl)C=CC(=C4)C(=O)O,11.387871338908148,-0.8972525000211198,11.387871338908148,0.2766691337028637,0.7360321551748458,419.9120000000001,397.73600000000016,419.14005462399996,152,0.3351892773835763,-0.47763912588778407,0.47763912588778407,0.3351892773835763,1.1666666666666667,1.9666666666666666,2.6666666666666665,35.4956921137891,9.745235125199397,2.451693864917361,-2.3415991349939143,2.4474892586946075,-2.4026505139839225,6.315919629148792,0.06964586852404982,1.5899336581656696,1098.1152686099467,20.827698166887178,16.51386025529884,17.269789201317295,14.562881945713373,10.505440269155136,10.883404742164364,8.463138739041844,8.870338865782447,6.8346484487947325,7.147357457283031,5.43883800028972,5.6558788743433155,-2.8399999999999994,13178222.655624723,19.143015320322785,7.445800922418834,3.07039696050198,180.12720317462123,5.106527394840706,6.069221312792274,0.0,0.0,0.0,5.969305287951849,5.008912523954532,4.794537184071822,10.36329908047821,0.0,30.508950204546146,67.49647937187048,11.48135753785839,33.59044840373754,9.901064578912528,28.969316455638626,5.261891554738487,0.0,16.93721961806251,44.56677056670402,5.008912523954532,63.674641691298966,6.069221312792274,5.008912523954532,5.687386274683562,0.0,11.600939890232516,22.829358514711217,6.4208216229260096,23.166924959853546,59.15245126548985,41.49960993650938,5.022633313741326,0.0,76.69,5.969305287951849,15.162956133651013,0.0,6.041840829147961,27.985348389458103,35.36761750670027,25.683286491704038,18.19910120538483,18.19910120538483,11.078133836746805,16.702347415972238,0.0,6.343103259169982,11.387871338908148,26.220086018672674,4.908207338229031,0.002014685248049375,13.333187389468515,6.749974414748044,0.0,0.0,0.375,30,1,5,2,1,3,2,0,2,4,1,6,3,1,0,1,5,5.255380000000005,116.14130000000004,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6857793,Active,85.0,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C6CC(C=C4C3=O)C(C5(OC6(C)C)CC=C(C)C(=O)O)O)O)C)C,14.748523025334357,-1.4333804139129023,14.748523025334357,0.03232380817583835,0.2067445040532064,630.7780000000005,584.4100000000004,630.3192684320001,246,0.3304433200013732,-0.5062570983910477,0.5062570983910477,0.3304433200013732,1.0217391304347827,1.7173913043478262,2.369565217391304,16.603015401232735,9.501968528749329,2.8049052300878885,-2.590839466159501,2.6942112667189506,-2.731267335746166,6.163308254507309,-0.20384526840475467,1.5837413568467438,1679.9660932630177,33.559748974456056,28.114568567458555,28.114568567458555,21.47714149286425,16.288383482555023,16.288383482555023,14.96346560618888,14.96346560618888,10.716700727118642,10.716700727118642,8.409740626556347,8.409740626556347,-3.62,8506660451.663059,32.32598836348423,10.707816656182928,4.544954374868506,270.6787609968171,29.53017104592226,34.01408861351609,11.384295757348628,0.0,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,35.45028948747406,93.22522430289678,34.96629426708433,17.26846869042899,39.1192454140659,17.82857034115067,0.0,0.0,11.835812092322787,116.00217534383809,0.0,69.36287312953746,17.248535499851716,9.473725907600098,0.0,17.248535499851716,0.0,55.58030205052195,15.95222176079788,11.835812092322787,102.55807574839183,52.67251865444647,0.0,6.076020106833881,122.52000000000001,40.39538096579629,24.90865655266576,0.0,40.75755230378642,41.711984215525185,11.993926152995277,12.496841729759891,12.152040213667762,52.84674631895476,19.92349450621513,14.210588861400147,20.772189005846755,0.0,26.561899400123494,33.39336736310318,-0.3834588400675132,-1.6437598282937467,0.0,12.784439163551252,15.515323735736583,0.0,0.5263157894736842,46,3,8,3,3,6,1,0,1,7,3,8,8,1,1,2,7,7.03110000000001,175.25489999999957,1,1,1,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51400333,Active,85.0,CC1=C2CC=C3C(C2=CC(=C1OC(=O)C)OC(=O)C)(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C,12.371598297479967,-0.6776905514181608,12.371598297479967,0.022403408722176943,0.2521155828649172,536.7090000000004,492.3570000000004,536.3137891279999,212,0.3088560838273763,-0.4808291812588481,0.4808291812588481,0.3088560838273763,0.8974358974358975,1.5384615384615385,2.1538461538461537,16.571986244995706,9.343079012021631,2.6666828341762363,-2.694799792016733,2.743288782120864,-2.6226354381674017,5.761399509713085,-0.1767799399390063,1.6254506722864621,1309.500179711919,28.758784066134826,24.877360104880527,24.877360104880527,18.005944373557266,14.490775193021479,14.490775193021479,14.222385266527436,14.222385266527436,12.04092915567148,12.04092915567148,9.37243171815855,9.37243171815855,-2.6300000000000003,219519680.0706389,27.918746917370523,8.68261881657419,3.8329096325589482,232.07780307324535,14.580253302440804,0.0,11.49902366656781,0.0,0.0,17.90791586385555,14.383611552215466,0.0,0.0,0.0,39.34407343566565,110.13364638069366,19.26246486877803,5.41499046939678,28.963864854656265,17.90791586385555,0.0,0.0,27.57786792374851,112.17146105032985,0.0,34.40584618045575,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,23.014443258696254,26.219423644538253,34.501605123439134,110.10226623340742,17.71549170536476,0.0,0.0,89.9,23.322906333252327,19.490138947056174,0.0,21.65996187758712,17.416929712729203,68.05692745849908,19.420578929450514,0.0,19.913841467842857,33.770968905596376,9.473725907600098,11.16561810679228,0.0,36.30956989650579,10.166458025475206,3.689882267861459,-0.6047963844851838,1.940550114693107,9.695890244751938,16.220161061738736,0.0,0.6666666666666666,39,1,6,4,0,4,1,0,1,5,1,6,3,3,0,3,5,7.083320000000008,148.80879999999985,1,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216239,Active,84.0,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F,12.93887738071883,-4.641864625107676,12.93887738071883,0.06593892325417694,0.4613395020059932,464.83100000000013,448.7030000000001,464.086302712,166,0.41741842768680637,-0.45723690229449804,0.45723690229449804,0.41741842768680637,0.9375,1.59375,2.25,35.49569230196615,10.164254358533512,2.330220266985286,-2.1243651775003527,2.357970309003776,-2.1948671769621653,6.311335678872339,-0.13699674174256032,1.6244376001208214,1137.8789445127009,23.30275414050485,16.45731905082472,17.213247996843176,15.151216908830305,9.062991028319598,9.440955501328828,6.353856509713334,6.76105663645394,4.068618814162425,4.3982070352024705,2.5829877408339534,2.8076791493706796,-3.7899999999999987,9882757.490846459,22.885411148770917,9.563603314484585,5.883370444382855,185.11105638623692,20.68722876581904,17.19295166141627,0.0,0.0,5.907179729351506,12.207413029781547,9.77851570501903,4.794537184071822,13.171245143024459,0.0,11.600939890232516,48.53093654769288,30.685655172119,10.586084805438322,27.497182464968155,34.914006681289216,0.0,10.30076712495354,0.0,6.176298517443475,17.68124919068985,77.07415998805436,11.49902366656781,20.68722876581904,29.340554876463408,11.49902366656781,11.600939890232516,23.969944745313974,6.176298517443475,0.0,16.051916670617278,60.794147187767564,5.022633313741326,0.0,92.35,22.793497835219867,22.760319511168106,0.0,17.288493998883528,17.186409941251373,12.13273413692322,25.377249691213486,30.33183534230805,0.0,20.9343443329662,16.337802844032566,44.47480425652903,5.5680146154364545,27.704457020430112,6.826069682816982,-0.5468369560238568,0.4600431322299272,11.597059144995193,-3.210188320537026,0.0,1.4876885352342903,0.09523809523809523,32,3,7,0,0,0,2,1,3,4,3,11,5,0,0,0,3,5.549700000000002,113.23860000000003,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,3,0,0,0,0,0,3,0,3,2,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11228183,Active,84.0,CN(C)CCC(CSC1=CC=CC=C1)NC2=C(C=C(C=C2)S(=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=CC=CC=C5C6=CC=C(C=C6)Cl)[N+](=O)[O-],13.350173424520452,-4.4264753017336025,13.350173424520452,0.14022089500093804,0.057731341530079264,813.4459999999998,768.0859999999998,812.25813822,292,0.29319831669218793,-0.37586587134379357,0.37586587134379357,0.29319831669218793,0.8928571428571429,1.5714285714285714,2.25,35.49569396160898,9.989707382848891,2.256813091740275,-2.361082973559423,2.308089288789617,-2.4556884218109425,7.989601752948646,-0.38369425873305046,1.0585139842646751,2217.385045824551,39.657914523816956,31.30576679073062,33.694688898604525,26.94553056377787,18.309170299264313,21.155896579521407,13.90206711515538,17.11431812575606,9.615521135743391,12.370692383893878,6.534222261752502,8.647179258455468,-4.919999999999999,2355276046475.4976,40.73460591248288,18.81158110620648,10.888101212645315,337.4141295080148,15.116608065707286,5.687386274683562,0.0,0.0,21.61785715744265,0.0,19.80876518368787,13.139891848781026,0.0,11.761884949391115,66.198243506387,104.41494715390007,71.75379808955888,9.818794524335445,18.13564521721843,56.35545454643341,0.0,14.521914326153045,0.0,28.798385809022097,62.78867793652084,147.59119593513313,11.126902983393991,14.938793199308897,17.062158824050687,0.0,23.36282483962363,87.66192765501108,16.56804755932016,10.114318268765572,22.34226179039182,131.11830832026783,5.022633313741326,11.126902983393991,128.13,26.54116820626032,23.32665243716633,0.0,22.188162071046293,17.196308543414126,61.481226745835386,23.259637120317212,36.027353223237554,79.65892438082098,38.03780413554421,11.600939890232516,28.78843137939308,7.747101501076425,32.1047204942583,16.150232351821344,4.447439989755548,-0.186761947149387,36.452865975845185,0.7043110809325581,4.828433655185807,-0.50899670334109,0.2619047619047619,56,2,11,0,1,1,5,0,5,10,2,14,16,0,1,1,6,7.880600000000009,226.31609999999944,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,1,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
